"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_APPLICATION_PARTY","DAYID","false","date","PK","PK (1/3) — Driving: STG_FCT_RLOS_APPLICATION_PARTY. Ngày dữ liệu","STG_FCT_RLOS_APPLICATION_PARTY.DAYID","direct","STG_FCT_RLOS_APPLICATION_PARTY","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain"
"FCT_RLOS_APPLICATION_PARTY","WI_NAME","false","string(100)","PK","PK (2/3) — mã hồ sơ tín dụng RLOS","STG_FCT_RLOS_APPLICATION_PARTY.WI_NAME","direct","STG_FCT_RLOS_APPLICATION_PARTY","WI_NAME",""
"FCT_RLOS_APPLICATION_PARTY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_RLOS_APPLICATION_PARTY.DATASOURCE","direct","STG_FCT_RLOS_APPLICATION_PARTY","DATASOURCE",""
"FCT_RLOS_APPLICATION_PARTY","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","STG_FCT_RLOS_APPLICATION_PARTY.APPLICATION_SK","direct","STG_FCT_RLOS_APPLICATION_PARTY","APPLICATION_SK",""
"FCT_RLOS_APPLICATION_PARTY","APPLICANT_SK","false","number","","Khóa tới DIM_RLOS_APPLICANT","STG_FCT_RLOS_APPLICATION_PARTY.APPLICANT_SK","direct","STG_FCT_RLOS_APPLICATION_PARTY","APPLICANT_SK",""
"FCT_RLOS_APPLICATION_PARTY","COREPAYER_SK","false","number","PK","PK (3/3) — khóa tới DIM_RLOS_COREPAYER","STG_FCT_RLOS_APPLICATION_PARTY.COREPAYER_SK","direct","STG_FCT_RLOS_APPLICATION_PARTY","COREPAYER_SK",""
